Equipment,Map Section,SL ID,Old SL ID,House No.,Street,City,Rate,Lamp,Luminaire,Bracket,Support,Connection,Valid From Date,Lamp Date,Luminaire Date,Bracket Date,Support Date,Connection Date,Longitude,Latitude
1000956322,MO,0,P023286,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*250,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956328,MO,0,P023271,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*400,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956332,MO,0,P023276,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*250,PRIVATE,PRIVATE,PRIVATE,OH,01/07/2020,17/05/2006,18/06/1968,18/06/1968,18/06/1968,18/06/1968,,
1000956336,MO,0,P023277,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*250,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956340,MO,0,P023278,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*250,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956344,MO,0,P023279,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*250,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956348,MO,0,P023280,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*150,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956353,MO,0,P023283,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*400,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956357,MO,0,P023284,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*400,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956361,MO,0,P023285,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*250,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
